USAF Fitness Assessment Scoring / Males < 25 years of age,,,,,,,,,,,,,
Final Version,,,,,,,,,,,,,
Cardiorespiratory Fitness,,,,,,,,,,,,,
Final Version,,,,,,,,,,,,,
USAF Fitness Assessment Scoring / Females 45-49 years of age,,,,,,,,,,,,,
Final Version,,,,,,,,,,,,,
Muscular Fitness,,,,,,,,,,,,,
1 min Push-ups,Points,"2 min Hand Release
Push-ups",,Points,1 min Sit-ups,,Points,"2 min Cross Leg
Reverse Crunch",Points,,"Forearm Plank Time
(mm:ss)",Points,
> 37,20.0,> 28,,20.0,> 35,,20.0,> 40,20.0,,> 3:05,20.0,
36,19.8,27,,19.6,34,,19.7,39,19.7,,3:00,19.7,
35,19.6,26,,19.2,33,,19.4,38,19.4,,2:54,19.3,
34,19.4,25,,18.8,32,,19.0,37,19.1,,2:47,18.8,
33,19.2,24,,18.4,31,,18.8,36,18.8,,2:40,18.4,
32,19.0,23,,18.0,30,,18.0,35,18.5,,2:20,17.1,
31,18.8,22,,17.6,29,,17.6,34,18.2,,2:00,15.8,
30,18.6,21,,17.2,28,,17.0,33,17.9,,1:40,14.5,
29,18.4,20,,16.8,27,,16.6,32,17.6,,1:20,13.2,
28,18.2,19,,16.4,26,,16.0,31,17.4,,1:00,11.9,
27,18.0,18,,16.0,25,,15.0,30,17.1,,:40,10.6,
26,17.8,17,,15.6,24,,14.0,29,16.8,,:35,10.3,
25,17.6,16,,15.2,23,,13.0,28,16.5,,:30*,10.0,
24,17.4,15,,14.8,22,,12.0,27,16.2,,,,
23,17.2,14,,14.4,21,,9.0,26,15.9,,,,
22,17.0,13,,14.0,20,,6.0,25,15.6,,,,
21,16.8,12,,13.6,19*,,3.0,24,15.3,,,,
20,16.6,11,,13.2,,,,23,15.0,,,,
19,16.4,10,,12.8,,,,22,14.7,,,,
18,16.2,9,,12.4,,,,21,14.4,,,,
17,16.0,8,,12.0,,,,20,14.1,,,,
16,15.6,7,,11.6,,,,19,13.8,,,,
15,15.0,6,,11.2,,,,18,13.5,,,,
14,14.0,5,,10.8,,,,17,13.2,,,,
13,13.0,4*,,10.0,,,,16,12.9,,,,
12,12.0,,,,,,,15,12.6,,,,
11,11.0,,,,,,,14,12.4,,,,
10,10.0,,,,,,,13,12.1,,,,
9,7.0,,,,,,,12,11.8,,,,
8,4.0,,,,,,,11,11.5,,,,
7*,1.0,,,,,,,10,11.2,,,,
,,,,,,,,9,10.9,,,,
,,,,,,,,8,10.6,,,,
,,,,,,,,7,10.3,,,,
,,,,,,,,6*,10.0,,,,
,,,,,,,,,,,,,
* Minimum Component Values,,,,,,,,,,,,,
,,,,,,,,,,,,,
Passing Requirements - member must :,,,,,,,,,,,,,
1) achieve a composite point total ? 75 points and,,,,,,,,,,,,,
2) meet minimum point values for all components.,,,,,,,,,,,,,
,,,,,,,,,,,,,
Composite Score Categories,,,,,,,,,,,,,
Excellent ? 90.0 pts,,,,,,,,,,,,,
Satisfactory = 75.0 - 89.9,,,,,,,,,,,,,
Unsatisfactory < 75.0,,,,,,,,,,,,,
Final Version,,,,,,,,,,,,,
USAF Fitness Assessment Scoring / Females 50-54 years of age,,,,,,,,,,,,,
Final Version,,,,,,,,,,,,,
Cardiorespiratory Fitness,,,,,,,,,,,,,
"Run Time
(mins:secs)",,,20 m HAMR Shuttles,,,Health Risk Category,,,,Points,,,
< 12:53,,,> 56,,,Low Risk,,,,60.0,,,
12:54 - 13:36,,,51 - 55,,,Low Risk,,,,59.5,,,
13:37 - 14:00,,,48 - 50,,,Low Risk,,,,59.0,,,
14:01 - 14:25,,,45 - 47,,,Low Risk,,,,58.5,,,
14:26 - 14:52,,,42 - 44,,,Low Risk,,,,58.0,,,
14:53 - 15:20,,,39 - 41,,,Low Risk,,,,57.5,,,
15:21 - 15:50,,,36 - 38,,,Low Risk,,,,57.0,,,
15:51 - 16:22,,,33 - 35,,,Low Risk,,,,56.5,,,
16:23 - 16:57,,,30 - 32,,,Low Risk,,,,56.0,,,
16:58 - 17:34,,,27 - 29,,,Low Risk,,,,55.5,,,
17:35 - 18:14,,,24 - 26,,,Low Risk,,,,55.0,,,
18:15 - 18:56,,,22 - 23,,,Moderate Risk,,,,53.5,,,
18:57 - 19:43,,,19 - 21,,,Moderate Risk,,,,52.0,,,
19:44 - 20:33,,,16 - 18,,,High Risk,,,,49.5,,,
20:34 - 21:28,,,13 - 15,,,High Risk,,,,46.0,,,
21:29 - 22:28,,,10 - 12,,,High Risk,,,,42.5,,,
22:29 - 23:34,,,7 - 9,,,High Risk,,,,39.0,,,
23:35 - 24:46*,,,5* - 6,,,High Risk,,,,35.0,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
NOTES:,,,,,,,,,,,,,
"Health Risk Category = low, moderate or high risk for:",,,,,,,,,,,,,
"current and future cardiovascular disease, diabetes, certain cancers, and other health problems.",,,,,,,,,,,,,
,,,,,,,,,,,,,
Passing Requirements - member must :,,,,,,,,,,,,,
1) achieve a composite point total ? 75 points and,,,,,,,,,,,,,
2) meet minimum point values for all components.,,,,,,,,,,,,,
,,,,,,,,,,,,,
* Minimum Component Values,,,,,,,,,,,,,
Run time < 24:46,,,,,,,,,,,,,
20 m HAMR Shuttles > 5 Shuttles,,,,,,,,,,,,,
,,,,,,,,,,,,,
Composite Score Categories,,,,,,,,,,,,,
Excellent ? 90.0 pts,,,,,,,,,,,,,
Satisfactory = 75.0 - 89.9,,,,,,,,,,,,,
Unsatisfactory < 75.0,,,,,,,,,,,,,
Final Version,,,,,,,,,,,,,
USAF Fitness Assessment Scoring / Females 50-54 years of age,,,,,,,,,,,,,
Final Version,,,,,,,,,,,,,
Muscular Fitness,,,,,,,,,,,,,
1 min Push-ups,Points,"2 min Hand Release
Push-ups",,Points,1 min Sit-ups,,Points,"2 min Cross Leg
Reverse Crunch",Points,,"Forearm Plank Time
(mm:ss)",Points,
> 35,20.0,> 25,,20.0,> 32,,20.0,> 39,20.0,,> 3:00,20.0,
34,19.8,24,,19.6,31,,19.5,38,19.7,,2:55,19.7,
33,19.6,23,,19.2,30,,19.0,37,19.4,,2:49,19.3,
32,19.4,22,,18.8,29,,18.0,36,19.1,,2:42,18.8,
31,19.2,21,,18.4,28,,17.8,35,18.8,,2:35,18.4,
30,19.0,20,,18.0,27,,17.6,34,18.5,,2:15,17.1,
29,18.8,19,,17.6,26,,17.2,33,18.2,,1:55,15.8,
28,18.6,18,,17.2,25,,17.0,32,17.9,,1:35,14.5,
27,18.4,17,,16.8,24,,16.0,31,17.6,,1:15,13.2,
26,18.2,16,,16.4,23,,15.0,30,17.3,,:55,11.9,
25,18.0,15,,16.0,22,,14.0,29,17.0,,:35,10.6,
24,17.6,14,,15.6,21,,13.0,28,16.7,,:30,10.3,
23,17.4,13,,15.2,20,,12.0,27,16.4,,:25*,10.0,
22,17.3,12,,14.8,19,,9.0,26,16.1,,,,
21,17.2,11,,14.4,18,,6.0,25,15.8,,,,
20,17.0,10,,14.0,17*,,3.0,24,15.5,,,,
19,16.8,9,,13.6,,,,23,15.2,,,,
18,16.6,8,,13.2,,,,22,14.8,,,,
17,16.4,7,,12.8,,,,21,14.5,,,,
16,16.2,6,,12.4,,,,20,14.2,,,,
15,16.0,5,,12.0,,,,19,13.9,,,,
14,15.0,4,,11.6,,,,18,13.6,,,,
13,14.0,3,,11.2,,,,17,13.3,,,,
12,13.0,2,,10.8,,,,16,13.0,,,,
11,12.0,1*,,10.0,,,,15,12.7,,,,
10,11.0,,,,,,,14,12.4,,,,
9,10.0,,,,,,,13,12.1,,,,
8,7.0,,,,,,,12,11.8,,,,
7,4.0,,,,,,,11,11.5,,,,
6*,1.0,,,,,,,10,11.2,,,,
,,,,,,,,9,10.9,,,,
,,,,,,,,8,10.6,,,,
,,,,,,,,7,10.3,,,,
,,,,,,,,6*,10.0,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
* Minimum Component Values,,,,,,,,,,,,,
,,,,,,,,,,,,,
Passing Requirements - member must :,,,,,,,,,,,,,
1) achieve a composite point total ? 75 points and,,,,,,,,,,,,,
2) meet minimum point values for all components.,,,,,,,,,,,,,
,,,,,,,,,,,,,
Composite Score Categories,,,,,,,,,,,,,
Excellent ? 90.0 pts,,,,,,,,,,,,,
Satisfactory = 75.0 - 89.9,,,,,,,,,,,,,
Unsatisfactory < 75.0,,,,,,,,,,,,,
Final Version,,,,,,,,,,,,,
USAF Fitness Assessment Scoring / Females 55-59 years of age,,,,,,,,,,,,,
Final Version,,,,,,,,,,,,,
Cardiorespiratory Fitness,,,,,,,,,,,,,
"Run Time
(mins:secs)",,,20 m HAMR Shuttles,,,Health Risk Category,,,,Points,,,
< 13:14,,,> 54,,,Low Risk,,,,60.0,,,
13:15 - 14:00,,,48 - 53,,,Low Risk,,,,59.5,,,
14:01 - 14:25,,,45 - 47,,,Low Risk,,,,59.0,,,
14:26 - 14:52,,,42 - 44,,,Low Risk,,,,58.5,,,
14:53 - 15:20,,,39 - 41,,,Low Risk,,,,58.0,,,
15:21 - 15:50,,,36 - 38,,,Low Risk,,,,57.5,,,
15:51 - 16:22,,,33 - 35,,,Low Risk,,,,57.0,,,
16:23 - 16:57,,,30 - 32,,,Low Risk,,,,56.5,,,
16:58 - 17:34,,,27 - 29,,,Low Risk,,,,56.0,,,
17:35 - 18:14,,,24 - 26,,,Low Risk,,,,55.5,,,
18:15 - 18:56,,,22 - 23,,,Moderate Risk,,,,55.0,,,
18:57 - 19:43,,,19 - 21,,,Moderate Risk,,,,53.5,,,
19:44 - 20:33,,,16 - 18,,,High Risk,,,,52.0,,,
20:34 - 21:28,,,13 - 15,,,High Risk,,,,49.0,,,
21:29 - 22:28,,,10 - 12,,,High Risk,,,,46.0,,,
22:29 - 23:34,,,7 - 9,,,High Risk,,,,43.0,,,
23:35 - 24:46,,,5 - 6,,,High Risk,,,,39.0,,,
24:47 - 26:06*,,,2* - 4,,,High Risk,,,,35.0,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
NOTES:,,,,,,,,,,,,,
"Health Risk Category = low, moderate or high risk for:",,,,,,,,,,,,,
"current and future cardiovascular disease, diabetes, certain cancers, and other health problems.",,,,,,,,,,,,,
,,,,,,,,,,,,,
Passing Requirements - member must :,,,,,,,,,,,,,
1) achieve a composite point total ? 75 points and,,,,,,,,,,,,,
2) meet minimum point values for all components.,,,,,,,,,,,,,
,,,,,,,,,,,,,
* Minimum Component Values,,,,,,,,,,,,,
Run time < 26:06,,,,,,,,,,,,,
20 m HAMR Shuttles > 2 Shuttles,,,,,,,,,,,,,
,,,,,,,,,,,,,
Composite Score Categories,,,,,,,,,,,,,
Excellent ? 90.0 pts,,,,,,,,,,,,,
Satisfactory = 75.0 - 89.9,,,,,,,,,,,,,
Unsatisfactory < 75.0,,,,,,,,,,,,,
Final Version,,,,,,,,,,,,,
USAF Fitness Assessment Scoring / Females 55-59 years of age,,,,,,,,,,,,,
Final Version,,,,,,,,,,,,,
Muscular Fitness,,,,,,,,,,,,,
1 min Push-ups,Points,"2 min Hand Release
Push-ups",,Points,1 min Sit-ups,,Points,"2 min Cross Leg
Reverse Crunch",Points,,"Forearm Plank Time
(mm:ss)",Points,
> 28,20.0,> 25,,20.0,> 32,,20.0,> 38,20.0,,> 2:55,20.0,
27,19.7,24,,19.6,31,,19.7,37,19.7,,2:50,19.7,
26,19.4,23,,19.2,30,,19.4,36,19.4,,2:44,19.3,
25,19.2,22,,18.8,29,,19.2,35,19.1,,2:37,18.8,
24,19.0,21,,18.4,28,,19.0,34,18.8,,2:30,18.4,
23,18.6,20,,18.0,27,,18.0,33,18.4,,2:10,17.1,
22,18.0,19,,17.6,26,,17.8,32,18.1,,1:50,15.8,
21,17.6,18,,17.2,25,,17.6,31,17.8,,1:30,14.5,
20,17.2,17,,16.8,24,,17.2,30,17.5,,1:10,13.2,
19,17.0,16,,16.4,23,,17.0,29,17.2,,:50,11.9,
18,16.8,15,,16.0,22,,16.0,28,16.9,,:30,10.6,
17,16.6,14,,15.6,21,,15.0,27,16.6,,:25,10.3,
16,16.4,13,,15.2,20,,14.6,26,16.3,,:20*,10.0,
15,16.2,12,,14.8,19,,14.0,25,15.9,,,,
14,16.0,11,,14.4,18,,13.6,24,15.6,,,,
13,15.0,10,,14.0,17,,13.0,23,15.3,,,,
12,14.0,9,,13.6,16,,12.6,22,15.0,,,,
11,13.0,8,,13.2,15,,12.0,21,14.7,,,,
10,12.0,7,,12.8,14,,9.0,20,14.4,,,,
9,11.0,6,,12.4,13,,6.0,19,14.1,,,,
8,10.0,5,,12.0,12*,,3.0,18,13.8,,,,
7,7.0,4,,11.6,,,,17,13.4,,,,
6,4.0,3,,11.2,,,,16,13.1,,,,
5*,1.0,2,,10.8,,,,15,12.8,,,,
,,1*,,10.0,,,,14,12.5,,,,
,,,,,,,,13,12.2,,,,
,,,,,,,,12,11.9,,,,
,,,,,,,,11,11.6,,,,
,,,,,,,,10,11.3,,,,
,,,,,,,,9,10.9,,,,
,,,,,,,,8,10.6,,,,
,,,,,,,,7,10.3,,,,
,,,,,,,,6*,10.0,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
* Minimum Component Values,,,,,,,,,,,,,
,,,,,,,,,,,,,
Passing Requirements - member must :,,,,,,,,,,,,,
1) achieve a composite point total ? 75 points and,,,,,,,,,,,,,
2) meet minimum point values for all components.,,,,,,,,,,,,,
,,,,,,,,,,,,,
Composite Score Categories,,,,,,,,,,,,,
Excellent ? 90.0 pts,,,,,,,,,,,,,
Satisfactory = 75.0 - 89.9,,,,,,,,,,,,,
Unsatisfactory < 75.0,,,,,,,,,,,,,
Final Version,,,,,,,,,,,,,
USAF Fitness Assessment Scoring / Females over 60 years of age,,,,,,,,,,,,,
Final Version,,,,,,,,,,,,,
Cardiorespiratory Fitness,,,,,,,,,,,,,
"Run Time
(mins:secs)",,,20 m HAMR Shuttles,,,Health Risk Category,,,,Points,,,
< 14:00,,,> 48,,,Low Risk,,,,60.0,,,
14:01 - 14:52,,,42 - 47,,,Low Risk,,,,59.5,,,
14:53 - 15:20,,,39 - 41,,,Low Risk,,,,59.0,,,
15:21 - 15:50,,,36 - 38,,,Low Risk,,,,58.5,,,
15:51 - 16:22,,,33 - 35,,,Low Risk,,,,58.0,,,
16:23 - 16:57,,,30 - 32,,,Low Risk,,,,57.5,,,
16:58 - 17:34,,,27 - 29,,,Low Risk,,,,57.0,,,
17:35 - 18:14,,,24 - 26,,,Low Risk,,,,56.5,,,
18:15 - 18:56,,,22 - 23,,,Low Risk,,,,56.0,,,
18:57 - 19:43,,,19 - 21,,,Low Risk,,,,55.5,,,
19:44 - 20:33,,,16 - 18,,,Moderate Risk,,,,54.0,,,
20:34 - 21:28,,,13 - 15,,,Moderate Risk,,,,52.5,,,
21:29 - 22:28,,,10 - 12,,,Moderate Risk,,,,51.0,,,
22:29 - 23:34,,,7 - 9,,,High Risk,,,,47.0,,,
23:35 - 24:46,,,5 - 6,,,High Risk,,,,43.0,,,
24:47 - 26:06,,,2 - 4,,,High Risk,,,,39.0,,,
26:07 - 27:27*,,,1*,,,High Risk,,,,35.0,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
NOTES:,,,,,,,,,,,,,
"Health Risk Category = low, moderate or high risk for:",,,,,,,,,,,,,
"current and future cardiovascular disease, diabetes, certain cancers, and other health problems.",,,,,,,,,,,,,
,,,,,,,,,,,,,
Passing Requirements - member must :,,,,,,,,,,,,,
1) achieve a composite point total ? 75 points and,,,,,,,,,,,,,
2) meet minimum point values for all components.,,,,,,,,,,,,,
,,,,,,,,,,,,,
* Minimum Component Values,,,,,,,,,,,,,
Run time < 27:27,,,,,,,,,,,,,
20 m HAMR Shuttles > 1 Shuttle,,,,,,,,,,,,,
,,,,,,,,,,,,,
Composite Score Categories,,,,,,,,,,,,,
Excellent ? 90.0 pts,,,,,,,,,,,,,
Satisfactory = 75.0 - 89.9,,,,,,,,,,,,,
Unsatisfactory < 75.0,,,,,,,,,,,,,
Final Version,,,,,,,,,,,,,
USAF Fitness Assessment Scoring / Females over 60 years of age,,,,,,,,,,,,,
Final Version,,,,,,,,,,,,,
Muscular Fitness,,,,,,,,,,,,,
1 min Push-ups,Points,"2 min Hand Release
Push-ups",,Points,1 min Sit-ups,,Points,"2 min Cross Leg
Reverse Crunch",Points,,"Forearm Plank Time
(mm:ss)",Points,
> 21,20.0,> 24,,20.0,> 31,,20.0,> 32,20.0,,> 2:50,20.0,
20,19.5,23,,19.6,30,,19.7,31,19.6,,2:45,19.7,
19,19.0,22,,19.2,29,,19.4,30,19.3,,2:39,19.3,
18,18.8,21,,18.8,28,,19.0,29,18.9,,2:32,18.8,
17,18.0,20,,18.4,27,,18.8,28,18.5,,2:25,18.4,
16,17.6,19,,18.0,26,,18.0,27,18.1,,2:05,17.1,
15,17.0,18,,17.6,25,,17.8,26,17.8,,1:45,15.8,
14,16.0,17,,17.2,24,,17.6,25,17.4,,1:25,14.5,
13,15.0,16,,16.8,23,,17.4,24,17.0,,1:05,13.2,
12,14.0,15,,16.4,22,,17.2,23,16.7,,:30,11.0,
11,13.0,14,,16.0,21,,17.0,22,16.3,,:25,10.6,
10,12.0,13,,15.6,20,,16.8,21,15.9,,:20,10.3,
9,11.4,12,,15.2,19,,16.6,20,15.6,,:15*,10.0,
8,10.6,11,,14.8,18,,16.4,19,15.2,,,,
7,10.0,10,,14.4,17,,16.0,18,14.8,,,,
6,7.0,9,,14.0,16,,15.6,17,14.4,,,,
5,4.0,8,,13.6,15,,15.0,16,14.1,,,,
4*,1.0,7,,13.2,14,,14.6,15,13.7,,,,
,,6,,12.8,13,,14.0,14,13.3,,,,
,,5,,12.4,12,,13.0,13,13.0,,,,
,,4,,12.0,11,,12.0,12,12.6,,,,
,,3,,11.6,10,,9.0,11,12.2,,,,
,,2,,11.2,9,,6.0,10,11.9,,,,
,,1*,,10.0,8*,,3.0,9,11.5,,,,
,,,,,,,,8,11.1,,,,
,,,,,,,,7,10.7,,,,
,,,,,,,,6,10.4,,,,
,,,,,,,,5*,10.0,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
* Minimum Component Values,,,,,,,,,,,,,
,,,,,,,,,,,,,
Passing Requirements - member must :,,,,,,,,,,,,,
1) achieve a composite point total ? 75 points and,,,,,,,,,,,,,
2) meet minimum point values for all components.,,,,,,,,,,,,,
,,,,,,,,,,,,,
Composite Score Categories,,,,,,,,,,,,,
Excellent ? 90.0 pts,,,,,,,,,,,,,
Satisfactory = 75.0 - 89.9,,,,,,,,,,,,,
Unsatisfactory < 75.0,,,,,,,,,,,,,
Final Version,,,,,,,,,,,,,
